species_taxon	cleaned_SRR35556007_1	cleaned_SRR35556007_2	cleaned_SRR35556008_1	cleaned_SRR35556008_2	cleaned_SRR35556009_1	cleaned_SRR35556009_2	cleaned_SRR35939735_1	cleaned_SRR35939735_2	cleaned_SRR35939736_1	cleaned_SRR35939736_2	cleaned_SRR35939737_1	cleaned_SRR35939737_2	cleaned_SRR35939738_1	cleaned_SRR35939738_2	cleaned_SRR35939739_1	cleaned_SRR35939739_2	cleaned_SRR35939740_1	cleaned_SRR35939740_2	zclean_wastewater
Acinetobacter wuhouensis	6	4	19	23	9	7	0	0	0	0	0	0	0	0	0	0	0	0	10
Actinomyces oris	0	0	1	1	12	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Acuticoccus sp. I52.16.1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas allosaccharophila	5	4	10	7	13	12	0	0	0	0	0	0	0	0	0	0	0	0	9
Aeromonas caviae	7137	6684	14437	13566	10975	10325	9	6	0	0	5	7	325	259	1	1	8	9	14226
Aeromonas dhakensis	2	3	2	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	5
Aeromonas hydrophila	13	11	501	465	672	611	0	0	0	0	0	0	0	0	0	0	0	0	25
Aeromonas jandaei	0	0	4	4	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas media	23	21	80	77	113	110	0	0	0	0	0	0	0	0	0	0	0	0	43
Aeromonas rivipollensis	2	3	24	19	39	40	0	0	0	0	0	0	0	0	0	0	0	0	5
Aeromonas salmonicida	4	3	21	22	35	32	0	0	0	0	0	0	0	0	0	0	0	0	6
Aeromonas sobria	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas sp.	1	0	4	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	1
Aeromonas sp. 19NY04SH05-1	0	0	4	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas sp. 2692-1	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas sp. ARM81	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
Aeromonas sp. ASNIH2	1	1	43	43	11	9	0	0	0	0	0	0	0	0	0	0	0	0	2
Aeromonas sp. ASNIH3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas sp. ASNIH4	2	2	3	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	4
Aeromonas sp. FDAARGOS 1402	1	1	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2
Aeromonas sp. FL131	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas sp. INTO2	32	27	26	25	67	71	0	0	0	0	0	0	0	0	0	0	0	0	63
Aeromonas sp. WP2-W18-CRE-05	0	0	7	7	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas taiwanensis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Aeromonas veronii	1841	1693	482	403	1624	1498	0	0	0	0	0	0	0	0	0	0	0	0	3475
Afonbuvirus intestinihominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agathobacter rectalis	26	25	7	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	53
Agrobacterium leguminum	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Agrobacterium pusense	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Agrobacterium tumefaciens	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agtrevirus MK13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcaligenes faecalis	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2
Aliarcobacter butzleri	23	23	49	42	52	47	0	0	0	0	0	0	0	0	0	0	0	0	48
Aliarcobacter cibarius	33	28	480	455	567	542	108	105	5	0	0	0	1335	1248	0	0	40	48	62
Aliarcobacter cryaerophilus	17	20	30	32	25	28	0	0	0	0	0	0	0	0	0	0	0	0	37
Aliarcobacter faecis	6	6	11	11	11	12	0	0	0	0	0	0	0	0	0	0	0	0	12
Alicycliphilus denitrificans	15	12	19	22	40	39	0	0	0	0	0	0	0	0	0	0	0	0	27
Alkanindiges sp. WGS2144	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alteromonas macleodii	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminobacter sp. BA135	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminobacter sp. NyZ550	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amniculibacterium sp. G2-70	2	2	3	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4
Amphritea japonica	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ampullimonas aquatilis	3	4	23	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Aquabacterium olei	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Aquabacterium sp. OR-4	5	6	8	9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10
Aquipseudomonas alcaligenes	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcobacter cloacae	1	1	18	16	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2
Aromatoleum aromaticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asticcacaulis excentricus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asticcacaulis sp. MM231	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Astrithrvirus astrithr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aureimonas sp. AU20	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
